soil_type,temperature,humidity,rainfall,ph,crop
Black,21.3,63.3,81.5,6.98,Mustard
Loamy,31.3,45.8,71.4,7.44,Cotton
Desert,24.5,56.6,51.6,7.04,Millets
Alluvial,20.9,58.3,54.0,6.49,Wheat
Alluvial,22.5,63.6,86.7,6.58,Tomato
Black,25.7,49.5,67.6,6.52,Chickpea
Red,26.1,55.4,79.7,6.01,Cotton
Black,14.9,49.0,55.9,7.42,Mustard
Laterite,27.2,91.6,203.3,6.48,Rice
Laterite,26.5,90.8,293.7,6.62,Rice
Alluvial,22.9,67.9,107.2,6.73,Onion
Red,29.3,73.0,81.5,6.18,Maize
Black,25.8,78.7,179.9,6.9,Soybean
Alluvial,24.2,51.2,58.3,6.64,Chickpea
Red,27.5,45.2,55.6,6.12,Groundnut
Alluvial,18.6,69.7,59.8,7.41,Onion
Loamy,25.2,39.8,67.1,7.54,Mustard
Alluvial,33.2,70.8,213.3,6.2,Banana
Loamy,24.8,57.8,64.3,7.53,Chickpea
Laterite,24.1,91.6,135.8,6.71,Banana
Red,24.3,85.7,98.3,7.21,Soybean
Black,30.3,60.4,68.5,6.01,Onion
Alluvial,28.9,68.8,74.0,6.88,Groundnut
Laterite,25.9,73.0,265.2,6.29,Banana
Alluvial,31.7,50.8,95.8,6.51,Groundnut
Loamy,25.8,73.1,64.8,6.46,Maize
Loamy,22.5,72.2,62.5,6.63,Maize
Black,25.4,44.7,116.7,6.6,Cotton
Alluvial,22.8,50.9,95.2,7.22,Wheat
Loamy,19.5,51.0,72.5,7.66,Chickpea
Alluvial,21.2,82.3,99.8,5.07,Potato
Clay,30.0,50.7,91.5,7.86,Millets
Red,26.3,78.4,111.2,6.28,Maize
Alluvial,28.4,74.3,239.3,5.9,Rice
Red,28.9,63.5,118.1,6.64,Groundnut
Black,34.5,46.1,63.6,6.75,Cotton
Alluvial,18.8,69.3,72.6,7.5,Wheat
Loamy,22.7,55.4,137.6,6.28,Maize
Loamy,24.1,65.0,64.7,6.23,Wheat
Alluvial,21.6,62.4,57.3,6.4,Maize
Loamy,30.4,44.9,92.7,7.12,Cotton
Sandy,29.1,46.0,98.7,6.5,Groundnut
Loamy,29.9,78.9,86.3,6.9,Soybean
Alluvial,30.3,75.4,122.4,6.79,Tomato
Laterite,26.5,62.7,84.4,6.73,Millets
Laterite,23.6,92.7,189.5,5.55,Rice
Red,24.4,61.7,118.0,6.03,Maize
Black,29.0,65.9,102.9,7.95,Cotton
Loamy,21.1,60.0,79.7,5.28,Potato
Loamy,27.7,70.4,83.9,6.7,Tomato
Alluvial,29.9,60.2,112.3,6.24,Onion
Laterite,28.0,91.5,247.0,6.62,Banana
Alluvial,15.0,56.8,47.4,7.26,Mustard
Alluvial,14.0,60.0,74.8,5.98,Mustard
Clay,28.3,89.9,242.9,6.07,Rice
Loamy,26.5,46.5,118.2,7.98,Cotton
Laterite,24.6,71.0,270.3,6.08,Rice
Alluvial,31.1,77.3,212.1,6.78,Rice
Laterite,27.8,55.6,121.7,6.09,Groundnut
Laterite,33.7,61.6,54.4,6.81,Groundnut
Red,30.7,61.9,159.0,6.34,Maize
Loamy,24.2,41.3,70.5,6.2,Mustard
Sandy,24.8,47.2,96.9,6.7,Groundnut
Alluvial,21.9,65.7,47.4,7.04,Chickpea
Loamy,24.9,89.9,121.3,6.43,Banana
Red,27.5,51.2,109.2,6.52,Cotton
Sandy,17.0,65.6,72.8,5.96,Potato
Sandy,24.3,63.7,78.9,5.33,Potato
Alluvial,24.3,58.8,58.2,5.99,Maize
Loamy,26.9,76.5,129.6,5.98,Banana
Alluvial,23.9,74.8,167.2,6.53,Rice
Laterite,25.4,58.0,60.0,6.61,Mustard
Clay,23.1,66.0,150.6,7.08,Soybean
Laterite,30.7,44.3,33.2,6.98,Millets
Black,29.5,67.6,50.1,6.47,Onion
Loamy,29.8,80.2,125.6,6.61,Tomato
Alluvial,18.2,43.3,71.7,6.64,Mustard
Red,28.6,68.6,70.1,6.25,Tomato
Clay,18.4,53.1,63.7,6.41,Wheat
Loamy,29.3,80.3,210.9,6.32,Banana
Loamy,25.9,68.8,155.3,7.06,Maize
Black,24.3,64.8,67.3,6.92,Chickpea
Sandy,21.1,69.3,78.1,6.45,Onion
Alluvial,24.9,81.5,163.4,7.12,Sugarcane
Laterite,26.5,36.5,79.2,6.76,Millets
Alluvial,18.6,79.9,73.8,5.82,Potato
Black,28.4,51.4,95.0,6.53,Onion
