crop,area,rainfall,temperature,fertilizer,yield_per_acre
Sugarcane,3.74,162.9,31.0,74.1,32.226
Wheat,23.84,350.9,15.4,125.3,1.141
Chickpea,8.48,120.4,29.9,91.3,0.791
Cotton,1.51,361.9,38.9,91.7,0.514
Maize,21.22,116.9,31.6,162.2,2.284
Onion,24.2,205.0,14.3,202.2,6.036
Millets,3.9,298.2,32.6,30.8,0.619
Groundnut,24.25,174.0,16.0,77.4,0.889
Banana,7.86,252.3,12.2,179.6,19.425
Tomato,7.93,260.3,23.0,85.6,9.197
Onion,21.17,335.8,18.9,144.8,5.543
Groundnut,9.5,320.2,40.1,63.8,0.613
Potato,18.63,235.1,27.7,70.2,7.609
Groundnut,17.96,104.5,26.9,195.8,1.514
Wheat,4.65,299.1,18.4,171.6,1.423
Groundnut,23.39,126.5,16.5,47.3,0.924
Wheat,21.02,78.0,12.5,190.3,1.999
Mustard,1.18,361.8,27.7,134.3,0.618
Wheat,13.29,312.3,39.2,141.0,0.821
Mustard,15.3,96.5,16.8,30.0,0.658
Groundnut,20.67,30.5,30.1,15.0,0.895
Groundnut,4.35,197.0,18.9,83.2,0.959
Sugarcane,23.44,254.8,27.2,122.5,33.161
Mustard,14.47,207.0,35.7,86.0,0.43
Chickpea,16.25,322.5,35.4,55.5,0.429
Tomato,3.06,218.6,21.2,174.1,10.415
Millets,18.47,81.0,14.0,22.9,0.777
Soybean,1.32,344.3,23.2,129.5,1.029
Maize,22.73,211.7,14.7,139.4,1.685
Sugarcane,10.5,213.1,30.6,32.2,29.224
Cotton,1.17,285.7,17.5,98.3,0.434
Rice,19.88,216.2,38.4,210.1,2.375
Tomato,8.33,32.2,33.5,55.4,9.909
Groundnut,19.54,46.7,38.4,143.3,1.176
Rice,12.94,212.0,38.4,117.1,2.154
Cotton,18.35,39.1,41.0,133.4,0.676
Cotton,19.64,102.9,20.7,61.2,0.667
Tomato,20.76,224.4,29.7,108.2,9.877
Rice,11.18,131.6,38.8,154.3,2.081
Mustard,13.94,51.0,14.1,32.4,0.727
Tomato,20.83,251.1,12.5,69.8,6.896
Sugarcane,14.74,43.6,12.6,129.3,23.275
Sugarcane,17.32,315.5,30.3,217.7,31.853
Maize,16.2,326.1,23.7,95.6,1.453
Onion,14.62,162.4,41.6,132.7,6.653
Rice,19.63,326.3,31.1,0.5,1.784
Chickpea,22.79,351.2,32.1,6.0,0.373
Groundnut,4.16,258.6,25.9,166.0,0.952
Rice,0.6,264.3,37.7,187.5,2.232
Chickpea,3.43,305.6,30.8,106.6,0.604
Cotton,19.78,320.7,26.7,27.4,0.499
Rice,14.81,306.5,20.8,75.5,1.556
Banana,8.9,84.5,28.2,86.6,23.523
Rice,5.7,52.0,19.6,153.4,1.891
Soybean,15.69,346.1,19.6,103.6,0.839
Groundnut,9.59,288.7,37.0,67.6,0.702
Sugarcane,22.25,316.5,32.7,89.6,24.487
Sugarcane,2.79,226.5,13.8,137.1,27.673
Onion,1.96,179.5,17.8,175.6,7.79
Millets,1.22,361.1,37.3,175.3,0.754
Cotton,2.45,390.5,26.8,78.5,0.536
Mustard,1.53,384.2,28.7,41.4,0.449
Tomato,14.03,245.7,15.0,119.9,7.644
Potato,24.39,132.4,38.5,75.8,8.196
Groundnut,4.23,377.4,12.7,48.2,0.49
Cotton,9.71,27.8,27.5,194.6,0.912
Tomato,24.79,150.1,15.7,15.3,9.554
Mustard,15.88,208.8,25.7,108.7,0.528
Onion,12.13,99.9,15.5,46.5,7.184
Tomato,18.91,338.1,15.1,27.1,6.029
Millets,2.05,304.0,13.7,208.8,0.559
Chickpea,20.53,333.0,28.9,20.0,0.441
Maize,13.94,302.6,21.0,192.1,1.776
Banana,3.32,336.5,16.0,167.0,18.399
Millets,8.17,58.5,42.0,213.6,1.142
Soybean,3.79,178.9,33.6,33.5,1.081
Soybean,22.65,286.0,32.8,208.4,0.955
Banana,22.78,394.6,12.6,72.7,12.734
Cotton,3.23,104.2,12.7,153.2,0.852
Groundnut,14.81,155.3,36.3,143.1,1.164
Banana,22.01,326.9,35.4,160.6,21.573
Mustard,14.36,386.1,27.0,48.8,0.411
Tomato,10.66,198.0,29.4,208.6,10.721
Tomato,19.6,89.5,20.4,200.1,13.918
Millets,4.01,242.1,20.3,138.5,0.698
Soybean,10.02,224.3,19.2,160.1,1.073
Cotton,16.18,363.2,35.7,9.7,0.464
Chickpea,18.19,387.8,12.1,52.1,0.532
Tomato,22.34,196.5,26.5,187.8,11.319
Maize,23.74,119.5,20.2,206.5,2.401
Mustard,0.89,210.9,30.5,53.8,0.506
Rice,3.43,114.8,28.0,188.3,2.233
Sugarcane,21.3,44.4,23.2,95.7,27.433
Potato,19.73,148.7,40.0,179.0,8.462
Potato,6.94,22.5,30.5,108.4,8.631
Onion,15.09,95.6,27.4,34.8,8.141
Wheat,4.99,238.5,12.2,34.4,1.14
Wheat,5.02,296.1,38.0,166.9,0.83
Chickpea,12.66,62.2,24.3,184.7,1.108
Banana,20.75,174.3,19.1,208.9,23.854
Sugarcane,19.82,87.7,40.9,172.9,26.189
Cotton,3.3,346.6,33.0,38.3,0.54
Millets,0.79,237.8,29.5,89.9,0.794
Cotton,13.58,276.1,16.4,219.6,0.492
Millets,23.75,315.7,21.7,48.8,0.539
Rice,14.02,160.6,33.8,137.7,1.869
Wheat,18.47,138.2,19.5,92.1,1.721
Onion,6.87,28.3,21.0,102.7,9.596
Cotton,4.92,144.4,12.9,16.5,0.612
Chickpea,18.83,310.0,39.4,199.7,0.472
Groundnut,3.25,208.8,29.7,131.5,1.236
Tomato,12.97,375.4,41.6,97.7,5.54
Millets,8.48,156.2,38.6,211.6,0.852
Potato,20.85,232.3,34.5,73.0,6.074
Rice,6.98,38.4,23.6,21.8,1.444
