crop,soil_type,nitrogen,phosphorus,potassium,fertilizer
Millets,Desert,119.7,33.8,2.5,NPK 10-26-26
Onion,Red,48.6,22.2,97.0,DAP
Mustard,Black,70.5,105.1,37.7,MOP
Potato,Laterite,56.5,50.3,20.4,MOP
Rice,Desert,14.3,134.2,15.0,Urea
Mustard,Loamy,117.3,20.1,19.8,NPK 10-26-26
Maize,Red,90.2,114.9,10.8,MOP
Cotton,Alluvial,125.8,136.6,93.4,Organic Compost
Chickpea,Clay,6.2,0.5,2.9,NPK 20-20-20
Tomato,Loamy,67.4,94.8,62.9,Organic Compost
Onion,Black,139.0,48.4,45.5,MOP
Millets,Desert,32.3,90.6,5.9,MOP
Cotton,Sandy,88.9,95.2,32.3,MOP
Soybean,Loamy,135.7,23.0,56.7,DAP
Sugarcane,Clay,104.7,68.1,2.3,MOP
Cotton,Alluvial,118.6,40.6,16.5,MOP
Sugarcane,Alluvial,137.0,44.1,130.6,Organic Compost
Rice,Loamy,66.6,96.2,96.1,Organic Compost
Banana,Desert,49.5,56.9,95.9,Urea
Soybean,Black,8.9,58.3,20.9,Urea
Soybean,Laterite,134.5,95.8,105.9,Organic Compost
Cotton,Alluvial,79.4,5.7,14.1,NPK 10-26-26
Sugarcane,Desert,116.4,35.9,104.9,DAP
Tomato,Black,7.6,82.0,69.6,Urea
Rice,Loamy,79.5,114.5,9.6,MOP
Rice,Red,67.1,6.8,129.3,DAP
Potato,Black,120.6,118.4,101.8,Organic Compost
Soybean,Clay,106.5,45.9,121.4,Organic Compost
Wheat,Laterite,58.0,105.9,70.1,Urea
Rice,Laterite,24.8,78.9,53.9,Urea
Rice,Desert,92.4,58.4,75.9,Organic Compost
Millets,Desert,112.4,42.2,104.2,Organic Compost
Tomato,Clay,123.4,126.0,16.3,MOP
Onion,Desert,67.0,95.6,67.8,Organic Compost
Wheat,Clay,92.5,81.6,74.0,Organic Compost
Tomato,Loamy,9.6,75.2,101.3,Urea
Soybean,Black,127.7,120.9,86.6,Organic Compost
Wheat,Black,79.7,34.2,89.4,DAP
Millets,Laterite,3.7,128.4,105.5,Urea
Tomato,Clay,101.0,115.6,132.0,Organic Compost
Chickpea,Clay,54.1,121.7,123.0,Urea
Soybean,Clay,111.2,41.5,56.9,Organic Compost
Onion,Clay,90.4,85.8,34.5,MOP
Millets,Laterite,139.3,120.8,73.6,Organic Compost
Onion,Black,14.2,88.3,101.8,Urea
Wheat,Black,75.2,8.8,59.4,DAP
Tomato,Desert,44.2,23.6,1.1,NPK 20-20-20
Potato,Clay,62.3,27.8,130.6,DAP
Maize,Alluvial,37.7,118.9,96.9,Urea
Mustard,Alluvial,108.6,10.7,47.1,DAP
Chickpea,Sandy,0.3,28.3,109.0,Urea
Maize,Red,25.7,15.6,117.1,Urea
Rice,Loamy,97.0,8.1,88.7,DAP
Mustard,Clay,111.7,111.1,55.8,Organic Compost
Cotton,Sandy,53.0,11.3,9.4,NPK 20-20-20
Chickpea,Red,129.9,140.0,20.1,MOP
Chickpea,Sandy,69.8,133.7,99.9,Organic Compost
Wheat,Black,34.2,127.6,30.1,NPK 20-20-20
Sugarcane,Sandy,53.5,131.0,58.6,Urea
Groundnut,Sandy,73.4,22.4,37.9,NPK 10-26-26
Potato,Loamy,62.6,127.3,114.7,Organic Compost
Onion,Loamy,111.8,113.2,12.8,MOP
Potato,Sandy,35.2,15.3,88.0,Urea
Soybean,Desert,82.1,8.7,53.6,DAP
Maize,Clay,34.3,120.3,124.8,Urea
Banana,Black,34.5,9.7,118.1,Urea
Millets,Red,7.7,9.0,12.7,NPK 20-20-20
Cotton,Loamy,39.4,114.4,2.7,MOP
Millets,Loamy,25.9,39.8,115.7,Urea
Banana,Alluvial,135.2,56.7,92.1,Organic Compost
